Expression	Value	Location	Type	
ab	Error (col 1): Unknown or ambiguous symbol. ab			
testInput_f32_10khz	Error (col 1): Unknown or ambiguous symbol. testInput_f32_10khz			
[100]	6.72'543'422E-7	0x2000'7860	float32_t	
[101]	6.61'956'051E-7	0x2000'7864	float32_t	
[102]	3.25'757'867E-7	0x2000'7868	float32_t	
[103]	1.98'757'698E-6	0x2000'786c	float32_t	
[104]	6.51'275'968E-7	0x2000'7870	float32_t	
[105]	1.14'506'804E-6	0x2000'7874	float32_t	
[106]	5.50'673'235E-7	0x2000'7878	float32_t	
[107]	4.97'327'619E-7	0x2000'787c	float32_t	
[108]	1.12'078'385E-6	0x2000'7880	float32_t	
[109]	8.75'099'033E-7	0x2000'7884	float32_t	
[110]	1.29'252'112E-6	0x2000'7888	float32_t	
[111]	4.72'658'485E-7	0x2000'788c	float32_t	
[112]	6.22'960'329E-7	0x2000'7890	float32_t	
[113]	5.83'718'645E-7	0x2000'7894	float32_t	
[114]	5.68'016'901E-7	0x2000'7898	float32_t	
[115]	1.00'598'186E-6	0x2000'789c	float32_t	
[116]	5.60'589'115E-7	0x2000'78a0	float32_t	
[117]	9.19'506'306E-7	0x2000'78a4	float32_t	
[118]	2.5'431'234E-7	0x2000'78a8	float32_t	
[119]	3.30'576'086E-7	0x2000'78ac	float32_t	
[120]	3.90'332'872E-7	0x2000'78b0	float32_t	
[121]	1.44'141'254E-7	0x2000'78b4	float32_t	
[122]	3.46'158'146E-7	0x2000'78b8	float32_t	
[123]	3.94'488'097E-7	0x2000'78bc	float32_t	
[124]	4.49'839'518E-7	0x2000'78c0	float32_t	
[125]	9.6'710'562E-7	0x2000'78c4	float32_t	
[126]	5.09'130'757E-7	0x2000'78c8	float32_t	
[127]	4.92'902'927E-7	0x2000'78cc	float32_t	
[128]	6.87'148'201E-7	0x2000'78d0	float32_t	
[129]	1.18'832'816E-6	0x2000'78d4	float32_t	
[130]	1.03'516'504E-6	0x2000'78d8	float32_t	
[131]	1.01'972'955E-6	0x2000'78dc	float32_t	
[132]	1.30'969'283E-6	0x2000'78e0	float32_t	
[133]	7.90'844'751E-7	0x2000'78e4	float32_t	
[134]	4.83'410'929E-7	0x2000'78e8	float32_t	
[135]	8.4'205'152E-7	0x2000'78ec	float32_t	
[136]	5.01'138'913E-7	0x2000'78f0	float32_t	
[137]	1.06'669'961E-6	0x2000'78f4	float32_t	
[138]	3.80'502'996E-7	0x2000'78f8	float32_t	
[139]	7.64'797'733E-7	0x2000'78fc	float32_t	
[140]	1.43'567'746E-7	0x2000'7900	float32_t	
[141]	2.10'428'411E-7	0x2000'7904	float32_t	
[142]	6.08'430'298E-7	0x2000'7908	float32_t	
[143]	9.40'896'598E-7	0x2000'790c	float32_t	
[144]	1.23'361'497E-6	0x2000'7910	float32_t	
[145]	6.48'605'862E-7	0x2000'7914	float32_t	
[146]	9.90'321'382E-7	0x2000'7918	float32_t	
[147]	7.00'978'319E-7	0x2000'791c	float32_t	
[148]	3.40'562'309E-7	0x2000'7920	float32_t	
[149]	1.57'724'048E-6	0x2000'7924	float32_t	
[150]	8.41'622'125E-7	0x2000'7928	float32_t	
[151]	1.34'622'508E-6	0x2000'792c	float32_t	
[152]	2.55'081'522E-6	0x2000'7930	float32_t	
[153]	1.16'927'424E-6	0x2000'7934	float32_t	
[154]	6.94'983'555E-6	0x2000'7938	float32_t	
[155]	2.85'361'807E-6	0x2000'793c	float32_t	
[156]	5.50'036'066E-6	0x2000'7940	float32_t	
[157]	7.31'799'628E-6	0x2000'7944	float32_t	
[158]	2.16'857'529E-6	0x2000'7948	float32_t	
[159]	3.69'904'137E-6	0x2000'794c	float32_t	
[160]	6.71'544'342E-7	0x2000'7950	float32_t	
[161]	9.37'841'719E-7	0x2000'7954	float32_t	
[162]	1.28'122'542E-6	0x2000'7958	float32_t	
[163]	3.17'203'558E-7	0x2000'795c	float32_t	
[164]	1.3'898'773E-6	0x2000'7960	float32_t	
[165]	3.66'202'954E-7	0x2000'7964	float32_t	
[166]	9.43'872'351E-7	0x2000'7968	float32_t	
[167]	4.59'861'155E-7	0x2000'796c	float32_t	
[168]	1.58'574'596E-6	0x2000'7970	float32_t	
[169]	1.21'035'009E-6	0x2000'7974	float32_t	
[170]	5.51'685'446E-7	0x2000'7978	float32_t	
[171]	1.27'549'845E-6	0x2000'797c	float32_t	
[172]	5.52'130'586E-7	0x2000'7980	float32_t	
[173]	8.59'440'888E-7	0x2000'7984	float32_t	
[174]	1.98'920'944E-7	0x2000'7988	float32_t	
[175]	2.02'466'054E-7	0x2000'798c	float32_t	
[176]	5.77'660'899E-7	0x2000'7990	float32_t	
[177]	4.0'296'996E-7	0x2000'7994	float32_t	
[178]	5.62'189'655E-7	0x2000'7998	float32_t	
[179]	9.18'687'064E-8	0x2000'799c	float32_t	
[180]	3.45'551'513E-7	0x2000'79a0	float32_t	
[181]	7.052'829E-7	0x2000'79a4	float32_t	
[182]	4.78'049'174E-7	0x2000'79a8	float32_t	
[183]	4.64'083'371E-7	0x2000'79ac	float32_t	
[184]	4.91'897'197E-7	0x2000'79b0	float32_t	
[185]	3.23'229'983E-7	0x2000'79b4	float32_t	
[186]	3.72'645'985E-7	0x2000'79b8	float32_t	
[187]	3.20'392'559E-7	0x2000'79bc	float32_t	
[188]	2.38'959'274E-7	0x2000'79c0	float32_t	
[189]	2.96'841'051E-7	0x2000'79c4	float32_t	
[190]	4.15'919'374E-7	0x2000'79c8	float32_t	
[191]	4.5'424'008E-7	0x2000'79cc	float32_t	
[192]	4.09'074'062E-7	0x2000'79d0	float32_t	
[193]	3.45'089'546E-7	0x2000'79d4	float32_t	
[194]	3.89'709'157E-7	0x2000'79d8	float32_t	
[195]	4.34'491'369E-7	0x2000'79dc	float32_t	
[196]	5.45'399'743E-8	0x2000'79e0	float32_t	
[197]	1.12'941'244E-7	0x2000'79e4	float32_t	
[198]	3.34'648'945E-7	0x2000'79e8	float32_t	
[199]	2.13'091'056E-7	0x2000'79ec	float32_t	
[200]	3.25'948'804E-7	0x2000'79f0	float32_t	
[201]	8.47'296'349E-8	0x2000'79f4	float32_t	
[202]	9.22'562'151E-8	0x2000'79f8	float32_t	
[203]	1.15'256'554E-7	0x2000'79fc	float32_t	
[204]	5.25'748'156E-8	0x2000'7a00	float32_t	
[205]	8.12'557'062E-8	0x2000'7a04	float32_t	
[206]	3.42'181'437E-7	0x2000'7a08	float32_t	
[207]	3.4'596'394E-7	0x2000'7a0c	float32_t	
[208]	1.18'771'183E-7	0x2000'7a10	float32_t	
[209]	1.10'540'121E-7	0x2000'7a14	float32_t	
[210]	2.46'113'359E-7	0x2000'7a18	float32_t	
[211]	2.43'893'169E-7	0x2000'7a1c	float32_t	
[212]	2.67'903'374E-7	0x2000'7a20	float32_t	
[213]	2.9'016'914E-7	0x2000'7a24	float32_t	
[214]	2.15'771'209E-7	0x2000'7a28	float32_t	
[215]	2.04'225'316E-7	0x2000'7a2c	float32_t	
[216]	6.60'802'328E-8	0x2000'7a30	float32_t	
[217]	3.30'637'306E-7	0x2000'7a34	float32_t	
[218]	1.85'624'117E-7	0x2000'7a38	float32_t	
[219]	6.92'764'161E-7	0x2000'7a3c	float32_t	
[220]	4.44'917'475E-7	0x2000'7a40	float32_t	
[221]	9.71'082'841E-7	0x2000'7a44	float32_t	
[222]	3.70'567'534E-7	0x2000'7a48	float32_t	
[223]	3.84'642'874E-7	0x2000'7a4c	float32_t	
[224]	2.29'988'984E-7	0x2000'7a50	float32_t	
[225]	2.47'164'877E-7	0x2000'7a54	float32_t	
[226]	4.94'284'507E-8	0x2000'7a58	float32_t	
[227]	5.14'761'318E-8	0x2000'7a5c	float32_t	
[228]	2.24'792'572E-7	0x2000'7a60	float32_t	
[229]	2.80'295'666E-7	0x2000'7a64	float32_t	
[230]	5.50'563'243E-7	0x2000'7a68	float32_t	
[231]	5.04'789'227E-7	0x2000'7a6c	float32_t	
[232]	1.05'457'423E-6	0x2000'7a70	float32_t	
[233]	8.43'236'364E-7	0x2000'7a74	float32_t	
[234]	3.37'589'341E-7	0x2000'7a78	float32_t	
[235]	1.23'196'639E-6	0x2000'7a7c	float32_t	
[236]	1.88'689'114E-7	0x2000'7a80	float32_t	
[237]	5.04'343'859E-7	0x2000'7a84	float32_t	
[238]	2.64'446'982E-7	0x2000'7a88	float32_t	
[239]	8.04'825'433E-8	0x2000'7a8c	float32_t	
[240]	4.21'513'619E-7	0x2000'7a90	float32_t	
[241]	2.32'290'901E-7	0x2000'7a94	float32_t	
[242]	3.58'377'292E-7	0x2000'7a98	float32_t	
[243]	1.4'705'131E-7	0x2000'7a9c	float32_t	
[244]	1.07'297'033E-7	0x2000'7aa0	float32_t	
[245]	2.04'159'107E-7	0x2000'7aa4	float32_t	
[246]	1.4'659'222E-6	0x2000'7aa8	float32_t	
[247]	4.25'672'397E-7	0x2000'7aac	float32_t	
[248]	3.92'493'462E-7	0x2000'7ab0	float32_t	
[249]	4.7'699'632E-7	0x2000'7ab4	float32_t	
[250]	1.98'598'315E-7	0x2000'7ab8	float32_t	
[251]	2.40'432'286E-7	0x2000'7abc	float32_t	
[252]	1.32'322'114E-7	0x2000'7ac0	float32_t	
[253]	2.52'277'516E-7	0x2000'7ac4	float32_t	
[254]	3.44'261'707E-7	0x2000'7ac8	float32_t	
[255]	2.18'150'134E-7	0x2000'7acc	float32_t	
[256]	2.58'986'802E-7	0x2000'7ad0	float32_t	
[257]	2.6'131'238E-7	0x2000'7ad4	float32_t	
[258]	1.83'728'801E-7	0x2000'7ad8	float32_t	
[259]	3.7'593'378E-7	0x2000'7adc	float32_t	
[260]	7.5'791'803E-7	0x2000'7ae0	float32_t	
[261]	2.92'343'202E-7	0x2000'7ae4	float32_t	
[262]	4.68'533'358E-7	0x2000'7ae8	float32_t	
[263]	2.68'541'584E-7	0x2000'7aec	float32_t	
[264]	3.82'371'837E-7	0x2000'7af0	float32_t	
[265]	1.72'124'331E-7	0x2000'7af4	float32_t	
[266]	1.9'610'583E-7	0x2000'7af8	float32_t	
[267]	3.6'226'524E-7	0x2000'7afc	float32_t	
[268]	1.2'121'366E-7	0x2000'7b00	float32_t	
[269]	3.64'940'803E-7	0x2000'7b04	float32_t	
[270]	1.59'736'899E-7	0x2000'7b08	float32_t	
[271]	3.74'460'143E-7	0x2000'7b0c	float32_t	
[272]	2.63'207'312E-7	0x2000'7b10	float32_t	
[273]	1.4'495'842E-7	0x2000'7b14	float32_t	
[274]	1.36'592'718E-7	0x2000'7b18	float32_t	
[275]	9.42'988'194E-8	0x2000'7b1c	float32_t	
[276]	6.89'475'854E-8	0x2000'7b20	float32_t	
[277]	1.09'687'754E-7	0x2000'7b24	float32_t	
[278]	7.28'778'815E-8	0x2000'7b28	float32_t	
[279]	1.26'084'501E-7	0x2000'7b2c	float32_t	
[280]	9.9'330'336E-8	0x2000'7b30	float32_t	
[281]	3.53'982'386E-7	0x2000'7b34	float32_t	
[282]	1.82'996'672E-7	0x2000'7b38	float32_t	
[283]	2.62'486'054E-7	0x2000'7b3c	float32_t	
[284]	6.07'800'928E-7	0x2000'7b40	float32_t	
[285]	3.35'838'422E-7	0x2000'7b44	float32_t	
[286]	7.05'661'989E-7	0x2000'7b48	float32_t	
[287]	3.40'009'564E-7	0x2000'7b4c	float32_t	
[288]	4.08'190'921E-8	0x2000'7b50	float32_t	
[289]	3.67'032'612E-7	0x2000'7b54	float32_t	
[290]	3.84'617'664E-7	0x2000'7b58	float32_t	
[291]	4.30'763'265E-7	0x2000'7b5c	float32_t	
[292]	3.77'087'673E-7	0x2000'7b60	float32_t	
[293]	2.31'212'937E-7	0x2000'7b64	float32_t	
[294]	4.61'147'863E-7	0x2000'7b68	float32_t	
[295]	3.95'552'178E-7	0x2000'7b6c	float32_t	
[296]	3.97'878'381E-7	0x2000'7b70	float32_t	
[297]	6.47'159'993E-7	0x2000'7b74	float32_t	
[298]	1.11'836'115E-7	0x2000'7b78	float32_t	
[299]	3.86'772'143E-7	0x2000'7b7c	float32_t	
[300]	3.41'580'858E-7	0x2000'7b80	float32_t	
[301]	5.77'343'428E-7	0x2000'7b84	float32_t	
[302]	2.61'151'825E-7	0x2000'7b88	float32_t	
[303]	5.87'943'134E-7	0x2000'7b8c	float32_t	
[304]	6.88'851'429E-8	0x2000'7b90	float32_t	
[305]	2.46'070'812E-7	0x2000'7b94	float32_t	
[306]	6.9'400'329E-7	0x2000'7b98	float32_t	
[307]	6.06'073'399E-7	0x2000'7b9c	float32_t	
[308]	1.67'935'752E-6	0x2000'7ba0	float32_t	
[309]	1.28'157'296E-6	0x2000'7ba4	float32_t	
[310]	2.96'591'224E-6	0x2000'7ba8	float32_t	
[311]	6.56'165'594E-6	0x2000'7bac	float32_t	
[312]	9.48'373'383E-7	0x2000'7bb0	float32_t	
[313]	1.24'164'865E-6	0x2000'7bb4	float32_t	
[314]	6.30'244'188E-7	0x2000'7bb8	float32_t	
[315]	5.4'918'462E-7	0x2000'7bbc	float32_t	
[316]	9.32'021'408E-7	0x2000'7bc0	float32_t	
[317]	5.86'556'212E-7	0x2000'7bc4	float32_t	
[318]	7.55'633'266E-7	0x2000'7bc8	float32_t	
[319]	3.59'215'193E-7	0x2000'7bcc	float32_t	
[320]	2.67'374'674E-7	0x2000'7bd0	float32_t	
[321]	5.858'912E-7	0x2000'7bd4	float32_t	
[322]	4.35'082'029E-7	0x2000'7bd8	float32_t	
[323]	4.80'827'452E-7	0x2000'7bdc	float32_t	
[324]	3.86'964'217E-7	0x2000'7be0	float32_t	
[325]	3.06'653'106E-7	0x2000'7be4	float32_t	
[326]	2.21'155'947E-8	0x2000'7be8	float32_t	
[327]	1.48'878'101E-7	0x2000'7bec	float32_t	
[328]	1.54'780'935E-7	0x2000'7bf0	float32_t	
[329]	3.05'661'899E-7	0x2000'7bf4	float32_t	
[330]	3.34'378'313E-7	0x2000'7bf8	float32_t	
[331]	4.00'129'409E-7	0x2000'7bfc	float32_t	
[332]	4.26'899'447E-7	0x2000'7c00	float32_t	
[333]	2.7'360'997E-7	0x2000'7c04	float32_t	
[334]	1.2'841'879E-7	0x2000'7c08	float32_t	
[335]	1.66'231'899E-7	0x2000'7c0c	float32_t	
[336]	8.57'288'796E-7	0x2000'7c10	float32_t	
[337]	1.17'884'292E-6	0x2000'7c14	float32_t	
[338]	8.87'083'445E-7	0x2000'7c18	float32_t	
[339]	3.84'291'098E-7	0x2000'7c1c	float32_t	
[340]	3.55'905'797E-7	0x2000'7c20	float32_t	
[341]	3.50'881'862E-7	0x2000'7c24	float32_t	
[342]	2.415'008E-7	0x2000'7c28	float32_t	
[343]	3.05'390'785E-7	0x2000'7c2c	float32_t	
[344]	1.2'069'863E-7	0x2000'7c30	float32_t	
